City,Zip Code,County,Median Income,Cost Of Living Index ($),Median Mortgage To Income Ratio (%),Owner Occupied Homes (%),Median Rooms In Home,College Degree (%),Professional (%),Population,Average Household Size,Median Age,Male To Female Ratio (%),Married (%),Divorced (%),White (%),Black (%),Asian (%),Hispanic Ethnicity (%)
Toms River,8757,Ocean,"30,177",104.1,26.8,94.1,5.3,8.3,22.5,"33,300",1.9,69.3,72.0,61.6,5.4,91.2,3.8,0.6,3.2
Waretown,8758,Ocean,"45,906",113.5,25.8,83.5,5.6,15.9,27.0,"5,375",2.6,37.0,97.4,57.3,11.4,93.1,0.4,0.1,3.8
Manchester Township,8759,Ocean,"23,914",56.9,27.1,93.7,4.4,10.0,28.5,"17,411",1.6,73.8,60.7,55.4,6.5,96.4,0.7,0.1,2.0
Clifton,7011,Passaic,"43,850",188.8,24.3,48.8,4.9,16.6,25.7,"37,001",2.8,35.5,85.0,54.0,7.3,54.4,4.1,4.9,32.0
Clifton,7012,Passaic,"49,873",209.2,25.6,57.3,5.0,32.0,38.0,"12,282",2.2,42.4,90.5,54.4,9.3,79.6,1.6,9.2,7.2
Clifton,7013,Passaic,"60,118",215.6,25.6,76.2,5.8,26.9,37.5,"24,754",2.5,42.6,86.1,59.0,6.7,81.1,0.8,7.6,8.7
Clifton,7014,Passaic,"58,359",188.1,22.9,72.7,5.4,32.2,37.0,"4,248",2.5,38.2,85.8,56.7,8.5,71.8,1.4,10.2,15.4
Clifton,7015,Passaic,,,,,,,,,,,,,,,,,
Passaic,7055,Passaic,"33,633",172.7,29.2,26.8,4.1,13.7,17.9,"67,885",3.4,28.6,91.9,48.9,6.9,18.2,11.8,5.2,62.4
Bloomingdale,7403,Passaic,"68,462",196.2,24.2,75.0,5.9,25.8,37.4,"7,563",2.6,37.9,91.5,63.1,6.7,92.1,0.0,0.5,4.3
Haskell,7420,Passaic,"60,428",161.1,27.2,79.2,5.8,14.8,25.4,"4,933",3.1,36.9,81.7,59.6,10.1,85.0,0.0,2.7,7.2
Hewitt,7421,Passaic,"67,229",167.3,24.9,85.9,5.7,22.5,32.2,"7,622",2.8,35.9,99.1,64.3,9.1,91.6,0.5,0.9,3.9
Little Falls,7424,Passaic,"59,611",222.1,24.1,63.6,5.4,30.0,41.5,"21,842",2.4,39.3,86.2,56.7,8.6,84.1,2.2,3.5,7.6
Newfoundland,7435,Passaic,"79,762",244.2,23.1,84.0,6.7,36.1,48.1,"2,117",2.7,38.8,102.1,64.5,4.9,93.4,0.6,0.0,2.2
Oak Ridge,7438,Passaic,"75,813",215.2,24.6,90.5,6.6,30.0,38.2,"11,890",2.8,37.1,93.8,69.0,8.1,94.7,0.6,0.6,2.7
Pompton Lakes,7442,Passaic,"65,659",194.8,27.0,77.2,6.0,27.5,39.0,"10,866",2.7,37.8,90.1,56.8,8.7,88.6,0.9,4.1,5.9
Ringwood,7456,Passaic,"81,636",214.2,24.3,94.4,7.0,39.2,44.5,"12,396",3.0,37.4,94.3,66.8,6.3,92.0,0.4,0.4,4.1
Wanaque,7465,Passaic,"73,048",214.9,26.0,79.8,6.2,30.6,35.8,"5,154",2.7,37.3,90.8,65.2,6.5,89.1,0.6,3.1,5.0
Wayne,7470,Passaic,"83,651",307.0,23.9,82.1,6.8,41.5,47.3,"54,115",2.8,40.0,85.6,61.8,5.9,86.6,1.3,5.9,5.0
Wayne,7474,Passaic,,,,,,,,,,,,,,,,,
Wayne,7477,Passaic,,,,,,,,,,,,,,,,,
West Milford,7480,Passaic,"75,691",193.8,23.3,92.5,6.4,28.7,36.2,"15,975",2.8,37.6,94.4,66.3,5.8,93.0,1.4,1.2,3.3
Paterson,7501,Passaic,"24,938",156.5,28.3,19.1,4.1,5.5,13.1,"32,857",3.1,29.4,89.9,41.7,9.0,10.2,30.8,0.9,56.2
Paterson,7502,Passaic,"44,087",157.8,28.5,56.1,5.0,12.2,20.7,"13,948",3.1,32.8,82.2,52.8,8.5,30.1,15.8,5.6,45.3
Paterson,7503,Passaic,"32,668",163.4,26.7,35.5,4.4,10.1,17.4,"19,066",3.1,31.2,93.2,53.4,7.6,26.4,8.1,2.5,53.9
Paterson,7504,Passaic,"45,412",178.2,26.2,45.7,5.2,11.4,25.7,"12,981",3.5,32.5,83.4,48.1,7.2,5.0,57.7,0.7,32.5
Paterson,7505,Passaic,,,,,,,,,,,,,,,,,
Hawthorne,7506,Passaic,"55,340",222.9,26.3,65.2,5.7,25.5,35.9,"18,218",2.5,38.1,85.7,57.8,8.2,89.2,0.4,2.2,7.4
Hawthorne,7507,Passaic,,,,,,,,,,,,,,,,,
Haledon,7508,Passaic,"52,695",210.7,24.2,63.6,5.6,22.9,32.5,"21,951",3.0,35.4,84.9,58.6,6.4,66.8,6.4,3.1,19.9
Paterson,7509,Passaic,,,,,,,,,,,,,,,,,
Paterson,7510,Passaic,,,,,,,,,,,,,,,,,
Totowa,7511,Passaic,,,,,,,,,,,,,,,,,
Totowa,7512,Passaic,"60,408",218.1,23.0,81.1,6.2,17.7,26.8,"9,846",2.7,42.7,83.7,57.1,5.8,89.2,1.5,1.8,6.3
Paterson,7513,Passaic,"38,190",181.8,26.6,33.7,4.8,7.6,15.9,"12,971",3.7,29.9,84.0,50.0,7.2,7.2,23.6,1.0,65.9
Paterson,7514,Passaic,"35,115",161.6,28.6,32.0,4.5,10.3,19.4,"18,338",3.0,32.3,74.7,43.1,8.4,11.3,50.2,0.4,34.7
Paterson,7522,Passaic,"31,728",156.1,27.4,26.7,4.6,5.9,13.8,"21,448",3.3,28.3,82.0,44.3,8.4,8.6,40.1,2.8,45.9
Paterson,7524,Passaic,"32,558",170.6,29.3,26.2,4.6,6.0,10.4,"12,944",3.4,28.7,92.4,48.6,8.2,8.0,23.0,1.0,65.1
Paterson,7533,Passaic,,,,,,,,,,,,,,,,,
Haledon,7538,Passaic,,,,,,,,,,,,,,,,,
Paterson,7543,Passaic,,,,,,,,,,,,,,,,,
Paterson,7544,Passaic,,,,,,,,,,,,,,,,,
Alloway,8001,Salem,,,,,,,,,,,,,,,,,
Deepwater,8023,Salem,,,,,,,,,,,,,,,,,
Hancocks Bridge,8038,Salem,,,,,,,,,,,,,,,,,
Pedricktown,8067,Salem,"57,708",121.5,21.5,85.4,6.2,10.6,25.9,"1,658",2.8,39.2,106.5,62.5,4.7,84.9,10.6,0.1,2.5
Penns Grove,8069,Salem,"35,857",93.7,23.7,61.9,5.5,11.8,23.2,"12,505",2.5,35.8,81.3,50.9,10.0,64.0,24.3,0.2,9.0
Pennsville,8070,Salem,"47,321",113.4,22.7,75.4,5.8,13.6,28.2,"13,030",2.4,39.4,89.8,59.3,9.1,95.8,0.7,1.2,1.5
Quinton,8072,Salem,,,,,,,,,,,,,,,,,
Salem,8079,Salem,"37,114",103.4,21.9,62.0,5.6,11.6,25.5,"11,937",2.5,37.7,81.8,53.0,8.2,63.3,30.8,0.1,3.0
Woodstown,8098,Salem,"55,490",162.9,22.4,74.6,6.5,26.2,39.0,"8,283",2.7,39.4,89.7,60.8,7.5,82.8,13.6,0.2,2.2
Elmer,8318,Salem,"54,987",128.4,23.0,86.4,6.2,16.8,28.4,"12,103",2.8,38.1,90.7,62.4,6.9,87.7,7.8,0.7,2.1
Monroeville,8343,Salem,"55,546",140.5,22.8,92.3,6.6,17.3,32.3,"4,619",2.9,37.4,97.5,61.6,7.7,91.7,2.4,0.0,4.6
Norma,8347,Salem,,,,,,,,,,,,,,,,,
Warren,7059,Somerset,"103,825",467.2,23.1,92.5,8.0,58.2,57.9,"14,229",3.0,39.3,94.0,72.8,3.8,83.4,0.5,11.1,3.1
Watchung,7069,Somerset,,,,,,,,,,,,,,,,,
Basking Ridge,7920,Somerset,"105,471",375.8,22.1,86.6,7.1,66.8,64.1,"24,703",2.6,39.3,89.7,67.8,6.7,86.5,1.5,7.8,2.6
Bedminster,7921,Somerset,"71,219",213.5,23.3,80.5,5.1,60.9,58.6,"7,846",1.9,39.1,79.5,53.5,14.1,85.8,2.0,6.9,3.9
Bernardsville,7924,Somerset,"103,506",438.7,20.7,83.3,7.8,59.3,52.7,"7,277",2.6,40.1,92.9,69.4,7.4,89.8,0.0,2.8,5.8
Far Hills,7931,Somerset,"132,919",805.1,19.5,81.5,8.3,65.7,52.6,"2,769",2.7,41.3,90.5,69.6,5.2,94.5,0.7,1.1,2.8
Gladstone,7934,Somerset,"104,078",498.5,22.0,80.3,7.6,59.7,60.5,"1,602",2.7,40.7,99.1,68.5,7.7,98.2,0.1,0.1,1.1
Liberty Corner,7938,Somerset,,,,,,,,,,,,,,,,,
Lyons,7939,Somerset,,,,,,,,,,,,,,,,,
Peapack,7977,Somerset,,,,,,,,,,,,,,,,,
Pluckemin,7978,Somerset,,,,,,,,,,,,,,,,,
Belle Mead,8502,Somerset,"114,854",353.4,22.6,90.5,8.3,61.1,64.7,"19,536",3.3,36.3,94.2,76.0,3.0,84.8,2.7,8.6,2.7
Blawenburg,8504,Somerset,,,,,,,,,,,,,,,,,
Kingston,8528,Somerset,,,,,,,,,,,,,,,,,
Rocky Hill,8553,Somerset,,,,,,,,,,,,,,,,,
Skillman,8558,Somerset,"126,027",424.6,22.9,92.5,8.4,69.9,66.8,"5,069",2.9,39.9,94.2,73.6,6.0,89.3,0.8,6.6,2.2
Bound Brook,8805,Somerset,"50,634",184.2,23.6,58.0,5.3,26.7,28.6,"12,027",2.7,35.2,100.3,55.1,7.3,62.9,2.5,2.8,30.5
Bridgewater,8807,Somerset,"86,517",276.2,21.5,84.7,6.8,49.6,53.5,"36,359",2.7,37.7,86.9,67.1,6.3,79.7,1.8,12.1,5.1
Flagtown,8821,Somerset,,,,,,,,,,,,,,,,,
Franklin Park,8823,Somerset,"64,051",136.4,22.4,83.4,5.2,47.5,54.6,"7,674",2.4,34.9,70.2,53.1,10.5,46.5,21.9,22.7,5.7
Manville,8835,Somerset,"51,258",161.4,22.7,71.3,5.4,13.6,25.6,"10,307",2.5,39.5,94.1,54.4,8.2,92.9,0.1,1.0,5.0
Martinsville,8836,Somerset,"113,639",392.7,19.9,97.2,8.0,55.6,58.5,"3,851",2.8,41.6,91.8,74.6,2.4,92.3,0.6,4.4,0.5
Hillsborough,8844,Somerset,,,,,,,,,,,,,,,,,
Neshanic Station,8853,Somerset,"100,432",308.8,22.0,88.5,7.8,50.0,55.5,"12,236",3.0,37.1,94.3,71.4,4.4,90.5,0.9,5.2,2.2
Raritan,8869,Somerset,"51,278",200.7,24.6,63.9,5.5,27.2,36.9,"6,404",2.4,37.6,88.4,59.0,8.9,81.5,0.4,8.5,8.2
Somerset,8873,Somerset,"68,047",186.9,22.9,68.7,5.8,41.7,50.6,"40,844",2.6,36.1,89.4,57.0,7.5,50.9,26.9,10.8,8.7
Somerset,8875,Somerset,,,,,,,,,,,,,,,,,
Somerville,8876,Somerset,"68,213",205.0,22.7,70.8,6.0,42.2,48.0,"41,944",2.6,35.8,91.9,59.7,8.6,74.4,6.6,8.0,8.8
South Bound Brook,8880,Somerset,"48,984",149.2,22.8,58.4,5.1,17.7,23.6,"4,492",2.7,35.1,102.4,49.9,9.0,63.1,7.6,4.1,22.9
Zarephath,8890,Somerset,,,,,,,,,,,,,,,,,
Raritan,8896,Somerset,,,,,,,,,,,,,,,,,
Franklin,7416,Sussex,"46,885",135.0,25.7,73.2,5.6,16.6,26.0,"5,817",2.7,37.0,87.6,58.1,9.1,92.0,0.7,1.9,4.5
Glenwood,7418,Sussex,"82,055",181.7,22.7,93.8,7.2,25.3,35.6,"2,705",3.2,35.7,103.0,69.6,3.8,96.3,0.7,0.3,0.3
Hamburg,7419,Sussex,"60,396",152.8,23.6,75.7,5.6,24.6,37.6,"7,020",2.6,36.9,91.7,60.7,11.2,92.2,0.5,1.6,3.6
Highland Lakes,7422,Sussex,"67,222",152.4,24.4,92.5,6.0,24.7,33.7,"7,107",2.9,35.7,94.7,68.5,6.9,93.7,0.4,0.8,3.9
Mc Afee,7428,Sussex,,,,,,,,,,,,,,,,,
Ogdensburg,7439,Sussex,"60,688",157.6,25.1,84.1,6.8,20.4,34.2,"2,657",2.9,35.1,96.1,63.7,6.9,93.8,0.1,0.4,5.1
Stockholm,7460,Sussex,"69,459",168.2,23.8,92.5,6.1,24.4,34.6,"3,644",2.9,36.9,104.4,70.2,5.7,94.8,0.2,0.0,4.7
Sussex,7461,Sussex,"59,458",176.6,24.3,82.4,6.6,21.6,32.0,"18,410",3.0,36.3,94.1,64.0,6.9,95.2,0.9,0.2,2.9
Vernon,7462,Sussex,"59,187",149.2,24.4,69.7,5.1,22.2,31.0,"6,894",2.6,33.9,97.4,58.0,9.3,92.6,0.4,0.9,4.0
Andover,7821,Sussex,"79,729",201.3,23.3,87.9,6.8,32.9,44.2,"9,004",2.8,36.8,99.7,68.6,6.5,92.1,0.8,1.4,4.3
Augusta,7822,Sussex,,,,,,,,,,,,,,,,,
Branchville,7826,Sussex,"59,875",185.3,24.9,85.0,6.2,24.8,36.0,"5,775",2.7,41.0,89.0,62.8,7.6,97.1,0.4,0.4,1.0
Montague,7827,Sussex,"48,438",146.2,25.0,75.3,5.4,15.5,26.9,"3,899",2.6,37.2,100.7,62.2,11.4,93.7,2.0,1.0,2.2
Glasser,7837,Sussex,,,,,,,,,,,,,,,,,
Greendell,7839,Sussex,,,,,,,,,,,,,,,,,
Hopatcong,7843,Sussex,"64,192",152.8,24.2,86.9,6.1,18.2,31.4,"12,395",2.7,35.7,100.6,63.6,8.4,88.8,2.3,1.4,5.5
Lafayette,7848,Sussex,"74,112",240.6,23.9,83.1,6.7,29.8,44.7,"4,385",3.2,40.7,88.6,61.8,6.5,91.7,1.5,2.7,3.6
Layton,7851,Sussex,,,,,,,,,,,,,,,,,
Middleville,7855,Sussex,,,,,,,,,,,,,,,,,
Newton,7860,Sussex,"60,904",173.2,23.8,75.7,6.0,25.3,36.7,"25,918",2.7,38.6,91.0,60.8,8.4,94.0,0.9,1.2,2.7
Sparta,7871,Sussex,"89,313",244.7,24.7,90.2,7.4,50.4,50.3,"19,229",2.9,37.7,92.0,70.8,5.7,94.4,0.4,1.3,2.7
Stanhope,7874,Sussex,"69,330",171.1,23.7,87.3,6.6,26.4,38.1,"9,423",2.8,35.8,92.6,61.6,9.5,92.3,0.7,1.4,4.5
Stillwater,7875,Sussex,,,,,,,,,,,,,,,,,
Swartswood,7877,Sussex,,,,,,,,,,,,,,,,,
Tranquility,7879,Sussex,,,,,,,,,,,,,,,,,
Wallpack Center,7881,Sussex,,,,,,,,,,,,,,,,,
Branchville,7890,Sussex,,,,,,,,,,,,,,,,,
Cranford,7016,Union,"76,338",254.1,21.6,82.9,6.7,42.9,50.6,"22,578",2.6,40.4,83.6,64.4,5.4,90.6,2.6,2.4,3.5
Fanwood,7023,Union,"85,233",248.3,22.3,91.9,6.9,50.9,55.4,"7,174",2.7,38.6,85.7,70.4,4.4,85.4,5.5,4.6,3.2
Garwood,7027,Union,"52,571",205.7,25.0,63.1,5.7,27.5,38.4,"4,153",2.4,38.3,84.0,52.9,6.6,90.4,0.5,2.2,4.6
Kenilworth,7033,Union,"59,482",195.3,23.4,77.4,6.0,15.5,30.6,"7,700",2.6,39.6,89.9,55.9,7.3,84.9,2.9,2.7,8.5
Linden,7036,Union,"45,960",167.1,24.6,57.0,5.2,13.8,22.8,"40,890",2.6,38.0,82.5,52.7,7.8,59.4,21.2,2.0,13.6
Plainfield,7060,Union,"51,406",180.2,24.4,49.3,5.1,26.0,28.7,"49,265",3.0,33.7,93.1,50.5,8.3,31.2,33.0,3.1,29.9
Plainfield,7061,Union,,,,,,,,,,,,,,,,,
Plainfield,7062,Union,"52,568",149.7,25.0,65.4,5.6,22.4,31.0,"13,217",2.9,34.9,81.7,47.2,8.6,17.8,62.6,0.9,16.3
Plainfield,7063,Union,"53,373",147.9,26.3,68.3,5.9,18.3,24.9,"12,001",3.2,33.0,85.1,49.4,7.9,20.3,58.2,1.4,18.8
Rahway,7065,Union,"50,729",159.0,24.2,62.8,5.5,17.4,30.6,"28,291",2.8,37.0,101.1,52.4,8.7,50.4,28.7,3.7,14.3
Clark,7066,Union,"65,019",238.3,24.9,81.4,6.3,28.1,36.9,"14,597",2.5,42.7,87.1,64.5,5.1,92.6,0.3,2.5,2.7
Scotch Plains,7076,Union,"78,742",284.7,23.7,75.7,6.8,48.6,54.3,"19,603",2.7,38.5,89.2,63.3,5.4,73.3,12.1,7.9,4.1
Springfield,7081,Union,"73,100",270.9,24.5,72.5,6.3,46.7,50.0,"14,596",2.3,42.1,86.4,63.6,6.4,86.5,4.2,3.8,4.0
Union,7083,Union,"60,487",193.0,24.3,78.0,6.1,26.9,38.5,"50,942",2.8,38.9,82.7,56.5,6.2,65.1,15.0,8.2,9.4
Vauxhall,7088,Union,"43,030",142.7,24.3,61.8,5.2,17.5,24.2,"3,262",2.5,36.6,60.9,38.1,12.5,4.3,87.6,1.4,2.0
Westfield,7090,Union,"98,684",356.7,21.5,83.1,7.2,61.9,60.5,"32,773",2.7,38.6,85.6,68.2,4.8,89.0,3.6,3.4,2.4
Westfield,7091,Union,,,,,,,,,,,,,,,,,
Mountainside,7092,Union,"97,195",380.5,20.5,94.6,7.3,47.9,52.7,"6,602",2.7,46.4,85.0,70.8,3.3,92.0,1.0,3.4,2.9
Elizabeth,7201,Union,"33,088",165.8,34.7,28.9,4.3,7.5,14.1,"27,634",3.3,31.8,108.2,50.8,8.6,18.4,32.6,0.9,44.5
Elizabeth,7202,Union,"35,347",171.9,26.4,29.2,4.1,12.5,19.0,"36,860",2.7,34.2,91.6,49.7,9.0,34.9,9.1,3.2,50.0
Roselle,7203,Union,"51,254",145.1,26.0,60.9,5.4,17.2,25.0,"21,274",2.8,35.3,81.0,50.2,8.5,26.9,49.5,2.4,16.9
Roselle Park,7204,Union,"53,989",174.6,24.4,59.1,5.3,25.6,34.6,"13,256",2.5,36.7,88.9,56.5,7.4,69.8,1.9,9.2,16.4
Hillside,7205,Union,"59,014",154.5,25.1,71.8,5.8,18.4,27.5,"21,689",3.0,35.7,84.6,54.1,6.0,32.2,45.6,2.9,14.1
Elizabeth,7206,Union,"30,637",156.7,24.8,30.5,4.6,6.4,11.8,"23,393",3.3,29.1,87.7,48.6,7.6,17.0,18.6,0.6,62.0
Elizabeth,7207,Union,,,,,,,,,,,,,,,,,
Elizabeth,7208,Union,"39,350",178.2,26.0,30.6,4.0,19.1,23.8,"32,791",2.7,33.7,89.9,49.2,8.9,31.7,16.1,3.0,44.1
Summit,7901,Union,"93,785",476.8,19.7,68.1,6.8,61.7,59.1,"22,723",2.6,37.3,87.6,65.0,5.4,80.4,3.8,4.0,10.2
Summit,7902,Union,,,,,,,,,,,,,,,,,
Berkeley Heights,7922,Union,"105,056",346.6,21.9,91.6,7.4,52.0,56.0,"12,417",3.0,39.6,85.4,70.1,4.9,86.9,1.0,7.8,3.8
New Providence,7974,Union,"93,033",353.8,22.0,78.9,7.0,57.0,59.4,"11,305",2.7,39.2,85.9,68.1,5.3,86.5,0.6,7.5,3.5
Allamuchy,7820,Warren,,,,,,,,,,,,,,,,,
Belvidere,7823,Warren,"53,402",160.7,23.5,74.9,5.8,23.7,33.4,"7,337",2.5,39.0,93.3,61.6,7.6,95.9,1.0,0.4,1.9
Blairstown,7825,Warren,"64,970",224.5,24.6,86.6,6.9,29.9,42.8,"9,376",2.8,40.1,94.8,66.3,7.3,96.5,0.1,0.7,1.9
Buttzville,7829,Warren,,,,,,,,,,,,,,,,,
Changewater,7831,Warren,,,,,,,,,,,,,,,,,
Columbia,7832,Warren,"64,850",217.3,24.6,86.9,6.8,24.6,34.4,"3,592",2.8,38.6,92.8,68.1,6.4,96.9,0.5,0.7,1.3
Delaware,7833,Warren,,,,,,,,,,,,,,,,,
Great Meadows,7838,Warren,"68,333",211.6,24.5,89.1,7.2,28.0,37.3,"3,142",3.0,36.4,94.5,67.7,5.5,92.9,0.0,1.8,4.4
Hackettstown,7840,Warren,"60,862",185.0,24.2,65.1,5.8,32.7,39.3,"26,000",2.5,37.1,89.6,61.7,8.6,88.9,1.8,2.2,5.8
Hope,7844,Warren,,,,,,,,,,,,,,,,,
Johnsonburg,7846,Warren,,,,,,,,,,,,,,,,,
Oxford,7863,Warren,"58,250",156.5,25.1,88.0,6.1,21.2,29.9,"3,913",2.7,38.4,90.1,65.0,6.8,97.2,0.4,0.2,1.3
Port Murray,7865,Warren,"70,607",195.6,23.5,84.5,6.7,28.2,38.9,"1,990",2.8,39.4,96.4,69.2,3.9,86.8,10.5,0.0,0.9
Vienna,7880,Warren,,,,,,,,,,,,,,,,,
Washington,7882,Warren,"60,846",164.4,24.7,70.4,6.0,26.5,34.9,"14,541",2.6,36.6,94.4,61.2,7.5,91.6,2.4,1.1,3.1
Broadway,8808,Warren,,,,,,,,,,,,,,,,,
Phillipsburg,8865,Warren,"44,092",130.7,23.6,67.7,5.8,13.6,27.1,"28,931",2.5,38.0,84.5,56.9,8.8,92.2,2.3,0.6,3.5
Stewartsville,8886,Warren,"86,131",254.8,23.8,90.7,7.5,37.4,48.2,"4,812",3.0,34.1,95.4,77.5,3.9,91.1,2.4,1.6,3.8
Hammonton,8037,Atlantic,"47,500",133.1,24.1,77.1,5.9,14.3,25.6,"22,730",2.9,38.8,100.6,60.6,7.9,81.2,3.5,0.4,13.3
Absecon,08201,Atlantic,"51,397",137.7,24.9,72.9,5.6,23.1,27.8,"34,886",2.9,34.2,86.7,55.8,10.1,71.4,10.3,9.0,6.5
